location,present_name,borough,name,desc
Southeast corner of Gifford’s Lane and Margaret Street,None,Staten Island,Edward Edwards Lane," Ed Edwards (1930-2005) was a pioneer in “downsizing” Staten Island communities, having been at the forefront of that movement with the Giffords Civic Association’s effort to preserve the unique character of Great Kills Town.  He was also a strong advocate for the public library system. "
Between Seguine Avenue and Elizabeth Place,Florence Place,Staten Island,Edward K. “Eddie” Oliver Place," Edward K. Oliver (b. 1970), who worked for Carr Futures, was killed in the terrorist attack on the World Trade Center on September 11, 2001."
Northwest corner of Forest Avenue and Bennett Avenue,None,Staten Island,Edward R. Stanzione Place, Edward Stanzione (1932-2003) worked with his father at Stanzione’s Deli and took over the family business when his father retired.  When he wasn’t enjoying food – preparing and eating it too – he was watching his beloved Brooklyn Dodgers.  He was a member of the Richmond County Post of the VFW in Port Richmond.  
Between Targee Street and Oder Avenue,Clove Road,Staten Island,Eleven in Heaven Square-Rescue 5," Honor eleven members of NYFD Rescue 5 who were killed in the 9-11 attacks.  They were Battalion Chief Louis Modafferi, Lieutenant Harvey Harrell, and Firefighters John Bergin, Carl Bini, Mike Fiore, Andre Fletcher, Joseph Mascali, Douglas Miller, Jeffrey Palazzo, Nick Rossomando and Allen Tarasiewicz."
Intersection of Bidwell Avenue and Lathrop Avenue,None,Staten Island,Daniel P. Rieu Way, Daniel P. Rieu (d. 2010) was vice-president of the Westerleigh Improvement Society for over 30 years as well as a member of Community Board 1..  He was an advocate for the preservation of the Staten Island Greenbelt and for children and adults with special needs.  
Corner of 8th Street and Reno Avenue,None ,Staten Island,Daniela R. Notaro Way, Daniela R. Notaro (1976-2001) was tragically killed in the terror attacks on 9-11.  She worked for Carr Futures on the 92nd floor of World Trade Center’s Tower 1.  She was only 25 years old.
Between Pompey Avenue and Wainwright Avenue,Scranton Avenue,Staten Island,Danny Pesce Place," Danny Pesce (b. 1967) worked for Cantor Fitzgerald at the World Trade Center.  He was killed in the terrorist attack of September 11, 2001."
Between Hylan Boulevard and Laconia Avenue,Cromwell Avenue,Staten Island,Dante L. Ferrari Way, Dante Ferrari (1915-1990) was the Staten Island Democratic Party leader from 1971 to 1973 and the Chief Clerk of the Staten Island Surrogate’s Court for 15 years. He was the director of the New York and Suburban Saving and Loan Association in Manhattan and was a leader in several charitable organizations.
Southeast corner of the intersection of Osgood Avenue and Vanderbilt Avenue,none,Staten Island,Darryl Anthony Taylor Street," Darryl Anthony Taylor (b. 1949) was working for General Telecom at the World Trade Center when he was killed in the terrorist attack of September 11, 2001."
Intersection of Wainwright Avenue at Richmond Avenue,None,Staten Island,Dave Brennan’s Elks Way," Dave Brennan, a veteran of the Korean War, was County Commander of the American Legion, and a member of Catholic War Veterans and Korean War veterans.  He was also trustee chairman of the Elks Lodge, located at Wainwright and Richmond Avenue.  Hence, the co-naming will  read “Dave Brennan’s Elks Way”"
Intersection of Lake Avenue at the northwest corner of Richmond Terrace,None,Staten Island,David Villamarin Drive," David Villamarin (1954-2005) was the President of Villa Marin Pontiac-Buick-GMC-Cadillac auto dealerships and was an active member of the Staten Island community, participating in many charitable organizations such as the CYO, the Boy Scouts of America and the Staten Island University Hospital."
The intersection of Cedar Grove Avenue and Garibaldi d Avenue,None,Staten Island,Deacon Ross Calimano Corner," Ross Calimano (1932-2003) moved to New Dorp Beach in the late 1940s and immediately associated himself with the Our Lady of Lourdes R.C. chapel, a mission of Our Lady Queen of Peace R.C. Church, assisting the late sexton Henry Cale. He was ordained a deacon in May 1980 and later became the only deacon in the Catholic Archdiocese of New York to serve as spiritual leader of a chapel. "
Intersection of Steele Avenue and 3rd Street,None,Staten Island,Deborah L. Macula Way," Deborah L. Macula (1952-2003) worked 29 years at Our Lady of Peace, 20 as a teacher and 9 as the Principal.  She helped families in need and raised funds for Staten Island organizations.  A medical clinic for the poor in the Town of Mary, India, isnamed in Deborah’s memory.  "
Between Bloomingdale Road and Vetrans Road East,Sharrotts Road,Staten Island,Debra Ann DiMartino Way," Debra Ann DiMartino(b. 1965) worked for the firm of Keefe, Bruyette & Woods at the World Trade Center.  She was killed in the terrorist attack of September 11, 2001. "
The northeast corner of the intersection of Elmira Avenue and Wescott Boulevard,None,Staten Island,Firefighter Arthur T. Barry Way," Firefighter Arthur T. Barry (b. 1965) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Between Manor Road and Bradley Avenue,Brielle Avenue,Staten Island,Firefighter Bobby Lane Way," Firefighter Robert Lane (b. 1972) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Intersection of Upton Street and Sparkhill Avenue,None,Staten Island,Firefighter Brian Cannizzaro Way," Firefighter Brian Cannizzaro (b. 1970) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Northeast corner of Potter Avenue and Fairview Avenue,None,Staten Island,Firefighter Brian E. Bilcher Way," Firefighter Brian E. Bilcher (b. 1963) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
In its entirety,Blueberry Lane,Staten Island,Firefighter Carl E. Molinaro Lane," Firefighter Carl A. Molinaro (b. 1955) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001. "
Southeast corner of Justin Avenue and Amboy Road,None,Staten Island,Firefighter Carl V. Bini Way," Firefighter Carl V. Bini (b. 1957) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Between Amboy Road and Truman Street,Brehaut Avenue,Staten Island,Firefighter Charles G. Chipura Avenue," Firefighter Charles G. Chipura (b. 1961) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
"A park bounded by Greaves Lane, Greaves Avenue, Dewey Avenue and Evergreen Street",Evergreen Park,Staten Island,Firefighter Christopher J. Siedenberg Memorial Park," A lifelong resident of the Great Kills section of Staten Island, Christopher J. Siedenberg was one of three firefighters who died in the line of duty fighting a blaze in lower Manhattan in March 1994.   Evergreen Park is located directly behind Christopher Siedenberg’s boyhood home.  "
Between Amboy Road and Shadow Lane,Amber Street,Staten Island,Firefighter Christopher Mozzillo Place," Firefighter Christopher Mozzillo (b. 1974)  was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Between Barlow Avenue and Leverett Avenue,Ridgewood Avenue,Staten Island,Firefighter Daniel Libretti Avenue," Firefighter Daniel Libretti (b. 1958) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Southeast corner of Lyon Place and Watchogue Road,none,Staten Island,Firefighter Daniel Perricone Place," Daniel Thomas Perricone was a Firefighter with Battalion 9, Engine 54 at 8th Avenue and 48th Street in Manhattan. On Christmas Eve of 1973 was fatally stricken with a heart attack a week after helping carry an elderly man from a 6th floor apartment in a five-alarm fire. "
Southeast corner of Decker Avenue and Barrett Avenue,None,Staten Island,Firefighter David LaForge Way," Firefighter David LaForge (b. 1951) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Southeast corner of Townsend Avenue and Tompkins Avenue,None,Staten Island,Firefighter Eddy Day Way," Firefighter Edward Day (b. 1955) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001. "
Between Hillis Street and Barclay Avenue,Mosley Avenue,Staten Island,Firefighter Eric Taube Olsen Place," Firefighter Eric Taube Olsen (b. 1959) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Northwest corner of Scarsdale Avenue and School Street,None,Staten Island,Elizabeth “Betty” Pancila Street," Betty Pancila (d. 2005) was a devoted wife, mother, grandmother and beloved school secretary at P.S.8. "
At the southeast corner of Richmond Terrace and Snug Harbor Road at the eastern leg of Snug Harbor Road,None,Staten Island,Elizabeth Egbert Way," Elizabeth Egbert (d. 1969) was President and CEO of the Staten Island Museum.  She made it one of New York's most engaging cultural entities and was responsible for restoring its new home, a landmark building at Snug Harbor Cultural Center.  She had an extensive career as an artist, sculptor and printmaker; and also taught art at Hunter College and other institutions.  She was also Chairperson/President of the Board of the Jacques Marchais Museum of Tibetan Art, and a board member of Snug Harbor Cultural Center and  of the Mud Lane Society for the Renaissance of Stapleton.  (Rose)"
